CU_u_id,c_id,e_id,EM_u_id
1140,1174,12123,8501
1188,1308,14877,8554
1322,1408,19770,8743
1394,1678,21259,8750
1568,1686,21422,8779
1630,1728,21525,8811
1690,1810,28713,8930
1754,1820,38789,8959
2081,1905,78741,9048
2115,2080,88066,9229
2137,2158,89792,9438
2160,2266,93509,9652
2288,2300,96389,9673
2362,2407,12123,8501
2427,2441,14877,8554
2540,2463,19770,8743
2636,2533,21259,8750
2727,3009,21422,8779
2961,3109,21525,8811
3025,3123,28713,8930
3050,3146,38789,8959
3275,3212,78741,9048
3338,3391,88066,9229
3429,3473,89792,9438
3431,3519,93509,9652
3460,3525,96389,9673
3786,3568,12123,8501
3804,3599,14877,8554
3866,3612,19770,8743
3949,3631,21259,8750
3984,3731,21422,8779
4052,3872,21525,8811
4086,3952,28713,8930
4122,4091,38789,8959
4212,4307,78741,9048
4230,4422,88066,9229
4309,4504,89792,9438
4368,4581,93509,9652
4382,4680,96389,9673
4407,4698,12123,8501
4554,4819,14877,8554
4749,4821,19770,8743
4773,5076,21259,8750
4817,5214,21422,8779
4904,5279,21525,8811
5148,5407,28713,8930
5236,5590,38789,8959
5306,5657,78741,9048
5510,5813,88066,9229
5612,5869,89792,9438
5636,6002,93509,9652
5694,6041,96389,9673
5746,6180,12123,8501
5797,6288,14877,8554
5870,6307,19770,8743
5894,6473,21259,8750
5961,6742,21422,8779
5993,6752,21525,8811
6107,6799,28713,8930
6169,6876,38789,8959
6202,6906,78741,9048
6283,6968,88066,9229
6344,7104,89792,9438
6357,7118,93509,9652
6662,7349,96389,9673
6786,7407,12123,8501
6901,7465,14877,8554
6948,7591,19770,8743
6958,7635,21259,8750
7187,7831,21422,8779
7474,7840,21525,8811
7540,7943,28713,8930
7707,8081,38789,8959
7802,8130,78741,9048
7951,8249,88066,9229
8055,8421,89792,9438
8097,9187,93509,9652
8102,9388,96389,9673
8183,9481,12123,8501
8424,9581,14877,8554
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
