receipt_no,rcpt_date,total_amt,payment_due,payment_mode,payment_paid
Abquodignissimosdistinctioenimdolor,8/26/1988,4695,1500,Visa,3195
Absequinihildelectusadnihil,6/3/1994,9778,3000,American Express,6778
Accusamusdoloremqueadetdeleniti,5/22/1993,6501,500,American Express,6001
Accusantiumfugitvelitetestquiavolu,6/18/1982,1454,50,MasterCard,1404
Adabutautetutexplicaboplaceat,11/3/2016,7111,600,Visa,6511
Adestmaximeveritatisexplicaboquidem,7/1/1982,5985,900,Discover Card,5085
Adfugitducimusconsecteturvoluptatem,1/28/2006,3521,90,Visa,3431
Aliquamfugadoloribusrepudiandaemaior,9/8/1991,2454,700,Discover Card,1754
Aperiamidnemoautanimidebitis,9/29/1998,4110,1000,Visa,3110
Assumendainventoreexercitationemesta,9/9/1997,4829,800,Visa,4029
Assumendaminimainciduntsit.,6/11/1995,1163,75,MasterCard,1088
Atanimiautdoloresin.,10/30/2008,4355,2000,MasterCard,2355
Autoccaecativoluptatemutmolestiasco,2/26/2009,7441,5000,MasterCard,2441
Autofficiiseumquialiquid.,9/15/1978,8398,6075,Discover Card,2323
Autporroperferendissuntarchitectoqu,4/12/1989,4820,2000,MasterCard,2820
Autquialaudantiumnatusrepellendusqu,1/29/1970,3206,1500,MasterCard,1706
Autemetsapienteeavoluptasetprovide,9/9/2013,3933,900,MasterCard,3033
Autemmolestiasabquiest.,10/6/2012,7825,3500,Visa,4325
Autemvoluptasquicommodirepudiandaee,2/14/1997,2868,1500,Visa,1368
Consecteturdolornullamaximevoluptate,9/29/2010,1768,1000,Visa,768
Consectetursapientefugatemporaabdig,5/14/1997,9740,5000,MasterCard,4740
Consequaturetnatusliberonobis.,1/26/2010,7857,5000,MasterCard,2857
Consequuntursequiteneturaccusamusdes,4/27/1998,8068,6000,MasterCard,2068
Cumqueametvoluptatealiasillo.,2/23/1977,7651,3000,American Express,4651
Dignissimosminusautemaututpraesenti,7/14/1981,1328,300,MasterCard,1028
Dolorprovidentdignissimosnumquamaute,3/21/2010,1126,100,MasterCard,1026
Doloremtotameligendirepellatcum.,6/25/2022,6293,3000,Visa,3293
Eaqueveritatisnisiillummaioresquie,9/8/2016,3629,600,Visa,3029
Enimdoloremnumquamiustoestnamquibu,1/4/2013,3350,275,Visa,3075
Estcommodiasperioressitsuscipitvolu,4/19/2010,6453,2000,Visa,4453
Estutlaborevelrepudiandae.,8/28/1998,9718,4500,MasterCard,5218
Etaliasrerumvoluptasaliquamsuscipit,7/24/2009,6732,3000,Visa,3732
Etestperferendisofficiavelit.,1/16/2014,7633,3500,MasterCard,4133
Eumquibusdamestvitaeexcepturi.,10/15/2006,7418,3500,Visa,3918
Explicabonostrumvoluptatemomnisfuga.,4/24/2019,1870,200,Visa,1670
Facerequaequietdoloremcumsunt.,2/5/2008,8157,5050,Visa,3107
Facerevitaererummollitiacommodi.,7/20/2020,1434,1000,MasterCard,434
Fugafacilisestaccusantiummagniminim,8/13/1976,9667,5075,MasterCard,4592
Idillositdoloresquaesimilique.,10/16/1990,6450,3000,American Express,3450
Inremiureilloutsolutautvoluptatib,9/12/1999,1120,100,Visa,1020
Ipsamconsequaturaccusamusutaut.,10/12/2004,5954,900,Visa,5054
Istequisitquisquamdolorumperspiciat,9/2/1987,3588,600,MasterCard,2988
Itaquedebitissedneque.,11/2/2021,3454,1500,Visa,1954
Laboriosamundeipsumrepudiandaecupidi,6/9/2010,6741,3000,American Express,3741
Minimaatetipsa.,4/10/2004,9262,4500,MasterCard,4762
Minusutdolorenobisinciduntest.,4/28/2009,4190,2500,MasterCard,1690
Nequemaioresaliquidsuscipitodioiust,3/1/1985,9132,4500,Visa,4632
Nequeveroestexpedita.,12/18/2010,7684,3550,Visa,4134
Nesciuntsuntdeseruntavoluptasdelect,5/14/1985,8583,4000,Visa,4583
Nihilassumendacorrupticorporiscum.,7/9/1987,7905,3500,MasterCard,4405
Nihilinciduntfugaea.,2/6/2013,8289,2000,Visa,6289
Nisiperferendisiurequodeseruntminus,10/30/1984,2390,500,MasterCard,1890
Nisiquamarchitectodolorveldeleniti.,6/14/1995,9512,4500,American Express,5012
Nonutquiautvoluptatem.,3/25/1990,6308,3500,MasterCard,2808
Odioquiautdebitisquod.,6/9/1994,4036,2000,Visa,2036
Oditrepellatmolestiaevelvoluptasnat,1/25/1984,7613,3500,Visa,4113
Omnisconsecteturquodinciduntvel.,2/6/1976,8184,4500,Visa,3684
Optioodiorepudiandaeomnissedratione,3/21/1991,3043,200,Visa,2843
Optiosedoccaecatiquaeratvel.,2/26/1978,8545,7050,Visa,1495
Porroveroquiitaqueasperioresvolupta,3/27/1972,8175,5000,Visa,3175
Providentnonadetcum.,12/8/1995,3819,1500,Visa,2319
Quicommodiutexercitationemmagnam.,2/5/2010,9789,6000,American Express,3789
Quiidfugautquaecorruptiqui.,1/9/2020,2019,1000,Visa,1019
Quipossimusremevenietmaximecorrupti,5/10/2014,6278,3900,Visa,2378
Quiquasinonetautut.,5/9/2010,6817,5475,MasterCard,1342
Quiquasiquiadoloresdelenitivoluptat,2/26/1984,4936,3657,Visa,1279
Quianonliberoomniserror.,8/21/2013,5267,3278,MasterCard,1989
Quibusdamconsequaturipsaaccusantiumv,11/2/2019,4879,2246,Visa,2633
Quibusdampossimusminusarchitectomodi,12/3/2006,1368,115,Visa,1253
Quidemnullaporrodicta.,10/10/1985,5144,3467,MasterCard,1677
Quidemrepellatdelectusfugaeos.,9/9/1984,3355,2367,MasterCard,988
Quisquassitquivoluptateet.,12/10/2019,1285,156,Discover Card,1129
Remquianullaut.,3/6/1980,9004,5748,MasterCard,3256
Reprehenderitnisirepellenduslaudantiu,10/2/1999,4345,2474,MasterCard,1871
Rerumametquirerumvelitnemo.,1/23/1971,1295,100,Visa,1195
Rerumestveltenetursedut.,12/15/2016,5444,2463,MasterCard,2981
Sapientecorrupticonsequatursintvelit,6/30/2006,4460,2464,Visa,1996
Sintremrepellatsitrationeconsectetu,7/31/1976,1660,100,MasterCard,1560
Sitveropraesentiumpariaturdebitis.,4/10/1976,2796,1000,Visa,1796
Solutaperferendisquisnecessitatibusa,3/29/2005,6233,3456,MasterCard,2777
Tenetursitquiaquaeratfugablanditiis,8/7/1989,4818,2500,MasterCard,2318
Undemagniquidemsinttempore.,10/28/2011,2738,2300,Visa,438
Undeutipsumsitfacilisquisquamconse,12/25/2015,5086,2500,MasterCard,2586
Utexplicaboestutenimquam.,8/6/1992,8754,4000,Visa,4754
Velestullamquos.,4/26/2013,3481,2356,Visa,1125
Velquaeratperspiciatissapiente.,4/3/2016,9711,8565,MasterCard,1146
Veniamaliasconsequaturitaquesapiente,12/18/1988,2411,1236,Visa,1175
Veritatisetexpeditaindoloribussapie,12/29/2009,9730,7265,Visa,2465
Voluptasmagniexplicabovelitrepudiand,3/20/1981,9281,4000,MasterCard,5281
Voluptatemvelitmolestiaseaest.,12/13/1996,1281,200,Visa,1081
